"lat","lon","isl"
18.7951626885305,145.692438555287,"agr"
18.7951626885305,145.692438555287,"agr"
18.7951899308305,145.692294257288,"agr"
18.79304871783,145.692677653283,"agr"
18.7924297684315,145.696137381254,"agr"
18.7909580468309,145.695681808257,"agr"
18.7902371907315,145.697430501242,"agr"
18.7899012058314,145.697289001243,"agr"
18.7854979785296,145.696179437249,"agr"
18.7821716263294,145.697810324233,"agr"
18.7820904067293,145.697738910233,"agr"
18.7820904067293,145.697738910233,"agr"
18.7820858975293,145.697671144234,"agr"
18.7819322376292,145.697629949234,"agr"
18.7819322376292,145.697629949234,"agr"
18.7818526422293,145.697791587233,"agr"
18.7817977233291,145.697440294236,"agr"
18.781552699429,145.697395810236,"agr"
18.7807864761296,145.699114826221,"agr"
18.7777862002288,145.699233896218,"agr"
18.7776857450288,145.699298228217,"agr"
