"x","y","island"
-166.21,23.759,"FFS"
-166.2,23.761,"FFS"
-166.21,23.763,"FFS"
-166.2,23.765,"FFS"
-166.2,23.767,"FFS"
-166.2,23.769,"FFS"
-166.2,23.771,"FFS"
-166.2,23.775,"FFS"
-166.2,23.776,"FFS"
-166.2,23.776,"FFS"
-166.2,23.775,"FFS"
-166.2,23.774,"FFS"
-166.2,23.775,"FFS"
-166.19,23.774,"FFS"
-166.19,23.773,"FFS"
-166.19,23.772,"FFS"
-166.19,23.771,"FFS"
-166.19,23.77,"FFS"
-166.19,23.77,"FFS"
-166.18,23.77,"FFS"
-166.18,23.769,"FFS"
-166.18,23.768,"FFS"
-166.18,23.765,"FFS"
-166.18,23.766,"FFS"
-166.18,23.764,"FFS"
-166.18,23.76,"FFS"
-166.18,23.758,"FFS"
-166.18,23.753,"FFS"
-166.18,23.754,"FFS"
-166.18,23.753,"FFS"
-166.18,23.751,"FFS"
-166.18,23.75,"FFS"
-166.18,23.75,"FFS"
-166.18,23.751,"FFS"
-166.18,23.752,"FFS"
-166.19,23.753,"FFS"
-166.19,23.754,"FFS"
-166.19,23.752,"FFS"
-166.19,23.75,"FFS"
-166.19,23.747,"FFS"
-166.19,23.743,"FFS"
-166.19,23.741,"FFS"
-166.19,23.742,"FFS"
-166.18,23.743,"FFS"
-166.18,23.742,"FFS"
-166.18,23.741,"FFS"
-166.18,23.738,"FFS"
-166.18,23.737,"FFS"
-166.18,23.734,"FFS"
-166.18,23.731,"FFS"
-166.18,23.729,"FFS"
-166.18,23.727,"FFS"
-166.18,23.726,"FFS"
-166.18,23.722,"FFS"
-166.19,23.72,"FFS"
-166.19,23.716,"FFS"
-166.18,23.717,"FFS"
-166.18,23.716,"FFS"
-166.18,23.712,"FFS"
-166.18,23.711,"FFS"
-166.18,23.709,"FFS"
-166.18,23.708,"FFS"
-166.18,23.708,"FFS"
-166.18,23.706,"FFS"
-166.18,23.706,"FFS"
-166.17,23.705,"FFS"
-166.17,23.703,"FFS"
-166.17,23.702,"FFS"
-166.17,23.7,"FFS"
-166.17,23.699,"FFS"
-166.17,23.698,"FFS"
-166.17,23.697,"FFS"
-166.17,23.695,"FFS"
-166.17,23.695,"FFS"
-166.18,23.695,"FFS"
-166.18,23.695,"FFS"
-166.18,23.693,"FFS"
-166.18,23.691,"FFS"
-166.18,23.69,"FFS"
-166.18,23.689,"FFS"
-166.18,23.689,"FFS"
-166.18,23.688,"FFS"
-166.17,23.687,"FFS"
-166.18,23.685,"FFS"
-166.18,23.682,"FFS"
-166.18,23.677,"FFS"
-166.18,23.676,"FFS"
-166.18,23.674,"FFS"
-166.18,23.673,"FFS"
-166.18,23.672,"FFS"
-166.18,23.671,"FFS"
-166.18,23.669,"FFS"
-166.17,23.669,"FFS"
-166.17,23.668,"FFS"
-166.17,23.668,"FFS"
-166.17,23.665,"FFS"
-166.17,23.663,"FFS"
-166.17,23.661,"FFS"
-166.17,23.66,"FFS"
-166.17,23.66,"FFS"
-166.18,23.658,"FFS"
-166.18,23.659,"FFS"
-166.18,23.657,"FFS"
-166.18,23.656,"FFS"
-166.18,23.657,"FFS"
-166.18,23.656,"FFS"
-166.19,23.655,"FFS"
-166.19,23.656,"FFS"
-166.19,23.655,"FFS"
-166.19,23.654,"FFS"
-166.2,23.655,"FFS"
-166.2,23.655,"FFS"
-166.2,23.655,"FFS"
-166.2,23.658,"FFS"
-166.2,23.658,"FFS"
-166.2,23.659,"FFS"
-166.21,23.659,"FFS"
-166.21,23.659,"FFS"
-166.21,23.66,"FFS"
-166.21,23.661,"FFS"
-166.21,23.663,"FFS"
-166.22,23.664,"FFS"
-166.22,23.663,"FFS"
-166.22,23.664,"FFS"
-166.22,23.662,"FFS"
-166.23,23.664,"FFS"
-166.23,23.659,"FFS"
-166.23,23.657,"FFS"
-166.23,23.655,"FFS"
-166.23,23.654,"FFS"
-166.23,23.654,"FFS"
-166.24,23.654,"FFS"
-166.24,23.655,"FFS"
-166.24,23.655,"FFS"
-166.24,23.654,"FFS"
-166.24,23.653,"FFS"
-166.24,23.653,"FFS"
-166.25,23.653,"FFS"
-166.25,23.654,"FFS"
-166.25,23.658,"FFS"
-166.25,23.66,"FFS"
-166.25,23.66,"FFS"
-166.25,23.661,"FFS"
-166.25,23.661,"FFS"
-166.26,23.66,"FFS"
-166.26,23.661,"FFS"
-166.26,23.663,"FFS"
-166.26,23.662,"FFS"
-166.27,23.661,"FFS"
-166.26,23.66,"FFS"
-166.26,23.657,"FFS"
